,Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
32906,Macao,MAC,2016,1.780704,0.0,1.762384,0.01832,,0.0,,2.841452
32907,Macao,MAC,2017,1.927264,0.0,1.590816,0.336448,,0.0,,3.017909
32908,Macao,MAC,2018,1.242096,0.0,1.063088,0.179008,,0.0,,1.908008
32909,Macao,MAC,2019,1.212784,0.0,0.956304,0.25648,,0.0,,1.827437
32910,Macao,MAC,2020,1.271793,0.0,1.009299,0.262494,,0.0,,1.880563
32911,Macao,MAC,2021,1.286771,0.0,1.03723,0.249541,,0.0,,1.874101
33178,North Macedonia,MKD,2016,6.987248,3.436832,2.854256,0.362736,0.333424,0.0,,3.311184
33179,North Macedonia,MKD,2017,7.503872,3.814224,2.872576,0.465328,0.351744,0.0,,3.553005
33180,North Macedonia,MKD,2018,7.031216,3.405631,2.837415,0.428912,0.359259,0.0,,3.326826
33181,North Macedonia,MKD,2019,7.994848,4.04872,3.092416,0.501968,0.351744,0.0,,3.781543
33182,North Macedonia,MKD,2020,6.649502,2.77899,2.945478,0.57329,0.351744,0.0,,3.149822
33183,North Macedonia,MKD,2021,6.851552,2.393694,3.383253,0.722861,0.351744,0.0,,3.257478
33450,Madagascar,MDG,2016,3.267788,1.02592,2.183744,0.0,0.058124,0.0,,0.128139
33451,Madagascar,MDG,2017,4.118891,1.458272,2.58312,0.0,0.077499,0.0,,0.157393
33452,Madagascar,MDG,2018,3.822318,1.242096,2.498848,0.0,0.081374,0.0,,0.142377
33453,Madagascar,MDG,2019,4.298984,1.400842,2.809019,0.0,0.089123,0.0,,0.156139
33454,Madagascar,MDG,2020,4.000582,1.365766,2.545693,0.0,0.089123,0.0,,0.141738
33455,Madagascar,MDG,2021,4.244355,1.468185,2.687047,0.0,0.089123,0.0,,0.146784
33722,Malawi,MWI,2016,1.194351,0.205184,0.930656,0.0,0.058511,0.0,,0.068619
33723,Malawi,MWI,2017,1.360279,0.209412,1.069106,0.0,0.081761,0.0,,0.076073
33724,Malawi,MWI,2018,1.570154,0.234496,1.24576,0.0,0.089898,0.0,,0.085484
33725,Malawi,MWI,2019,1.592955,0.21568,1.283114,0.0,0.094161,0.0,,0.084429
33726,Malawi,MWI,2020,1.471603,0.210943,1.166499,0.0,0.094161,0.0,,0.075946
33727,Malawi,MWI,2021,1.552193,0.226761,1.231271,0.0,0.094161,0.0,,0.07804
33994,Malaysia,MYS,2016,252.060659,71.04496,88.368352,73.525488,13.41557,5.706289,,7.99522
33995,Malaysia,MYS,2017,248.202507,78.608623,81.272391,70.42679,12.581372,5.313331,,7.762197
33996,Malaysia,MYS,2018,267.086876,84.147424,82.890672,84.261008,11.772656,4.015116,,8.243608
33997,Malaysia,MYS,2019,269.155703,85.063424,79.127744,90.284624,10.797636,3.882275,,8.204961
33998,Malaysia,MYS,2020,259.481359,94.558656,70.517073,76.509741,13.368605,4.527284,,7.815705
33999,Malaysia,MYS,2021,256.048939,85.794767,71.102631,82.002525,13.385331,3.763685,,7.626434
34266,Maldives,MDV,2016,1.436288,0.0,1.436288,0.0,0.0,0.0,,3.161875
34267,Maldives,MDV,2017,1.513232,0.0,1.513232,0.0,0.0,0.0,,3.203001
34268,Maldives,MDV,2018,1.7404,0.0,1.7404,0.0,0.0,0.0,,3.553592
34269,Maldives,MDV,2019,1.952912,0.0,1.952912,0.0,0.0,0.0,,3.870924
34270,Maldives,MDV,2020,2.061136,0.0,2.061136,0.0,0.0,0.0,,4.006578
34271,Maldives,MDV,2021,2.118174,0.0,2.118174,0.0,0.0,0.0,,4.06203
34538,Mali,MLI,2016,3.336958,0.0,3.085088,0.0,0.25187,0.0,,0.178446
34539,Mali,MLI,2017,3.549892,0.0,3.290272,0.0,0.25962,0.0,,0.183824
34540,Mali,MLI,2018,3.67462,0.0,3.40725,0.0,0.26737,0.0,,0.184337
34541,Mali,MLI,2019,3.853637,0.0,3.466144,0.0,0.387493,0.0,,0.187366
34542,Mali,MLI,2020,3.928363,0.0,3.54087,0.0,0.387493,0.0,,0.18509
34543,Mali,MLI,2021,4.169758,0.0,3.782265,0.0,0.387493,0.0,,0.190357
34810,Malta,MLT,2016,1.356353,1.2e-05,1.355205,1.2e-05,0.0,0.0,0.001125,2.900018
34811,Malta,MLT,2017,1.530878,1.2e-05,0.978233,0.552342,0.0,0.0,0.000291,3.192676
34812,Malta,MLT,2018,1.546948,1.2e-05,0.865988,0.680744,0.0,0.0,0.000204,3.146851
34813,Malta,MLT,2019,1.649193,1.1e-05,0.940833,0.708166,0.0,0.0,0.000183,3.274579
34814,Malta,MLT,2020,1.599576,0.0,0.863125,0.736261,0.0,0.0,0.000191,3.103816
34815,Malta,MLT,2021,1.724154,0.0,0.880683,0.84328,0.0,0.0,0.000191,3.273205
35082,Marshall Islands,MHL,2016,0.142896,0.0,0.142896,0.0,0.0,0.0,,2.956734
35083,Marshall Islands,MHL,2017,0.14656,0.0,0.14656,0.0,0.0,0.0,,3.10594
35084,Marshall Islands,MHL,2018,0.14656,0.0,0.14656,0.0,0.0,0.0,,3.186849
35085,Marshall Islands,MHL,2019,0.14656,0.0,0.14656,0.0,0.0,0.0,,3.276695
35086,Marshall Islands,MHL,2020,0.154682,0.0,0.154682,0.0,0.0,0.0,,3.563031
35087,Marshall Islands,MHL,2021,0.158962,0.0,0.158962,0.0,0.0,0.0,,3.780319
35354,Martinique,MTQ,2016,2.30954,0.0,2.30954,0.0,0.0,0.0,,6.072223
35355,Martinique,MTQ,2017,2.278873,0.0,2.278873,0.0,0.0,0.0,,6.037517
35356,Martinique,MTQ,2018,2.265687,0.0,2.265687,0.0,0.0,0.0,,6.044394
35357,Martinique,MTQ,2019,2.321087,0.0,2.321087,0.0,0.0,0.0,,6.235374
