date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-08-06,BW,-32,-14,-1,-44,-38,29
2022-06-19,BY,-19,13,101,1,-2,-12
2022-04-28,CI,52,107,67,47,-26,33
2020-07-16,CL,-75,-49,-72,-73,-71,35
2022-07-19,CM,38,79,90,86,25,30
2020-07-15,EC,-34,-16,-36,-46,-41,21
2021-06-15,FJ,-17,0,-16,-48,-32,25
2021-07-07,FJ,-23,-4,-17,-53,-38,29
2021-08-16,FJ,-21,-7,-18,-57,-30,26
2021-08-07,GA,21,28,121,25,-10,-15
2021-07-29,GA,22,26,103,27,-11,-12
2022-06-22,GH,49,79,55,41,25,21
2020-07-15,GT,-42,-25,-39,-61,-43,23
2021-07-10,HR,25,45,375,51,6,-8
2021-12-31,HU,-29,0,87,-37,-73,21
